,category,ttc
80,文藝,淡水 漁人 舞台 淡水 漁人 碼頭 觀海 廣場     NUM   年   全新 戶外 原創 音樂 基地   淡水 漁人 舞台 淡水 漁人 碼頭 設立   大型 鰆 魚 標的 矗立 象徵 著台灣 豐沛 原創 音樂 能量 平台 熱力 綻放   獨立 樂團 熱情 演出 漁人 朋友 共度 許多 美好 夜晚   夕陽餘暉 下   晚風 輕拂   樂音 吶喊 唱和   身體 隨之 恣意 搖擺   啜飲 淡淡 啤酒花   空氣 中 親切 烤魚 香   都還 記得   今年   澎湃 記憶 延續   召喚 樂迷 返來   令人 期待 精彩 展演   NUM   月   NUM   日 登場   熱血 賣命 漁人 搖滾 精神 再次 引爆   挾著 淡水 河口 壯闊 大自然 賦予 勇氣   原創 音樂 故事 遍地開花     NUM   年   夏夜 晚風 中   期待 音樂 樂迷 交織 燦爛 火花   週六 主題 日   多元 樂風 大放送   去年 漁人 舞台   帶領 進入 原創 音樂 世界 裡   初嘗到 獨立 音樂 精神   今年 展演 規劃 再 升級   週六 主題 日   呈現 原創 音樂 世界 中 多元 樂風   包括 流行 搖滾   英式 搖滾   重金屬   電音     邀請 樂風 代表 樂團 帶給 感受   帶領 民眾 認識 深度 層次 獨立 音樂   也將 滿足 族群 音樂 喜好   專屬 漁人 舞台 愜意 氛圍   夕陽   音樂   啤酒   烤魚   好吃 好玩   精彩 演出 陣容   位處 淡水河 海 交界 漁人 舞台   遠眺 觀音山   旁 倚 淡水河   絕美 淡水 夕照 下   迎著 晚風   聽著 音樂   享受 美食   人生 一大 樂事   延續 漁人 舞台 獨一 邊玩 邊聽 氛圍   今年 周邊 貨櫃 市集 提供 多元 好吃 好玩 選擇 漁人 碼頭 商店 街 特色美食   不可 錯過   
81,休閒,密碼 玩家   ENG   暑假 本館 暑假 期間   針對 親子 遊客 推出 免費 好玩 金工 體驗 活動   歡迎 入館 參觀   綻放   新生代 金工 創作 聯展   的國 小學 童 領取 學習   完成 後 機會 領取 免費 材料 包   數量 有限   送 完為止   活動 期間   NUM   月   NUM   日起     NUM   月   NUM   日止   每日 限量 贈送   NUM   份 材料 包   材料 包內 包括 黃銅 片   連接 環   皮繩   參加 小朋友 專業 金工 講師 引導 下   認識 金屬工藝 工具   鏨子 數字 鉆   材料   黃銅 片   技法   敲   鎚   參加 學員 利用 鏨子 數字 鉆   薄 金屬片 進行 敲   鎚   創造 出點 字   英文字 效果   打造出 專屬 小 墜子   再 連接 環將 墜子 連接 皮繩   如此一來   完成 獨一無二 小 配飾   
82,影劇、展覽,  NUM       NUM   生活 講座   古典 詩詞 中 愛情   板橋 訊     NUM       板橋 生活 講座   將於   NUM       NUM       晚上   NUM   點在 板橋 區公所   NUM   樓 禮堂   板橋 區府 中路   NUM   號   邀請 臺北市立 大學 中文系 助理 教授 楊文惠 演講   古典 詩詞 中 愛情   人生 自是 情痴   此恨 不關 風 月   世說新語   云   聖人 忘情   最 下 不及 情   情之所 鍾   正在 我輩   芸芸 眾生 中 大多數   皆 情之所 鍾 之輩   人 種種 情感 中   愛情 最 動人 心弦   不論是   死 生契闊   與子 成說     衣帶漸寬終不悔   伊 消得人 憔悴   天願 做 比翼鳥   地願 連理枝   此情可待 成 追憶   當時 已 惘然   古典 詩詞 中 愛情   往往 說出 心中 最 動人 風景   最 迷人 樂章   講座 免費入場   現場 並有 抽獎 活動   歡迎 踴躍 參加   詳情請 板橋 區公所 全球 資訊網 查詢     ENG       ENG       ENG       ENG       ENG       ENG     電洽     NUM       NUM   轉   NUM     新北市 板橋 區公所   資料 提供   人文 課   黃 馨 儀   電話     NUM       NUM       NUM       NUM   
83,休閒,  NUM   關山 慢城樂 活趣 系列 活動 公告 日期     NUM       NUM       NUM     公告 事項   臺東縣 關山 鎮公所 舉辦     NUM   關山 慢城樂 活趣 系列 活動   爺爺 跳跳 屋   路邊 天文台   關山 冠軍 米 馬拉松   熱氣球 光雕   活動   歡迎 蒞臨   
84,休閒,臺東   NUM   成功 仙台 馬拉松 活動 訂於     NUM     年   NUM   月   NUM   日   星期日   假 臺東縣 成功 鎮 海濱公園 辦理   報名 期間 即日起   NUM   月   NUM   日止   聯絡 電話     NUM       NUM   陳 冠博 先生   報名 網址   ENG       ENG       ENG       ENG     NUM     
85,休閒,  NUM   關山 慢城樂 活趣 系列 活動   爺爺 跳跳 屋   路邊 天文台   關山 冠軍 米 馬拉松   熱氣球     NUM       NUM       NUM       NUM     爺爺 跳跳 屋   上午   NUM   時至 下午   NUM   時   關山 親水 公園       NUM       NUM     路邊 天文台   大圓 小圓 星星   晚上   NUM   時至 晚上   NUM   時   關山 親水 公園       NUM       NUM       NUM       NUM     跑馬 當飯 吃   關山 冠軍 米 馬拉松   NUM   日賽   下午   NUM   時至 晚上   NUM   時   關山 親水 公園   環鎮 自行車道   東   NUM   線   台   NUM   線及   NUM   縣 道       NUM       NUM     熱氣球 光雕   晚上   NUM   時   NUM   分 晚上   NUM   時   NUM   分   關山 親水 公園 原住民 廣場   發佈 課室   經建課 
86,公告,國 軍士 官兵 人才 招募 說明會     NUM   梯次   活動 延期 原定   NUM   年   NUM   月   NUM   日 辦理   國 軍士 官兵 人才 招募 說明會     NUM   梯次   活動 因故 延至   NUM   年   NUM   月   NUM   日 地點   新北 市政府   NUM   會議室   新北市 板橋 區 中山路   NUM   段   NUM   號   NUM   樓 東側   報到 時間     NUM   時   NUM   分   請於   NUM   月   NUM   日 下午   NUM   時前   撥打 本市     NUM     專線電話 報名   當日 活動 報名 人數 不足   NUM   戶   活動 取消 辦理   如經 推薦 成功 就業   社會 救助 法   NUM   條   工作 收入 超過 當年度 基本工資   得以 當年度 基本工資 計算       NUM   年度 擔任 二等兵 薪資   NUM   萬   NUM       NUM   元     NUM   年度 得以   NUM   萬   NUM       NUM   元 計算   最長   NUM   年 限   評估 必要   延長   NUM   年   發佈 課室   社會 課 
87,休閒,  NUM   冬暖 澎湖   泳出 健康 公告 日期     NUM       NUM       NUM     公告 事項     活動 訂於   NUM   年   NUM   月   NUM   日 上午   NUM   時假 澎湖縣   裡 沙灘 舉行   報名 組別 分為 休閒 組     NUM     ENG     鐵人 組     NUM     ENG     自即日起   NUM   月   NUM   日止 受理 報名   歡迎 全國 愛好 游泳 人士 踴躍   組隊   報名 參加     相關 活動 訊息 請 澎湖縣 馬公市 公所 全球 資訊網     ENG       ENG       ENG       ENG       ENG     伊 貝特 報名 資訊網     ENG       ENG       ENG       ENG       ENG     NUM     查詢   
88,公告,臺北市 服處   NUM       NUM         NUM   時   NUM   分   NUM   時 舉辦     NUM   強薪 達陣   大型 徵才 活動   主辦單位   臺北市 就業 服務處   公告 事項   臺北市 服處   NUM       NUM         NUM   時   NUM   分   NUM   時假圓 山花 博爭艷館 舉辦     NUM   強薪 達陣   大型 徵才 活動     NUM   家 廠商     NUM       NUM   工作 機會   最高 薪資   NUM   萬元   詳情請   ENG       ENG       ENG       ENG     電洽   NUM       NUM       NUM   轉   NUM     
89,公告,  國 軍士 官兵 人才 招募 說明會     NUM   梯次   活動 延期 公告 日期     NUM       NUM       NUM     公告 事項   國 軍士 官兵 人才 招募 說明會     NUM   梯次   活動   因故 延至   NUM   年   NUM   月   NUM   日 辦理   更新 訊息     NUM     說明會 日期     NUM   年   NUM   月   NUM   日   星期日     NUM   時至   NUM   時   NUM   分     NUM     說明會 地點   新北 市政府   NUM   會議室   新北市 板橋 區中   山路   NUM   段   NUM   號   NUM   樓 東側     NUM     說明會 報到 時間     NUM   年   NUM   月   NUM   日   NUM   時   NUM   分     NUM     報名 參加 說明會   請於   NUM   月   NUM   日 下午   NUM   時前   撥打   市     NUM     專線電話 報名     NUM     當日 活動 報名 人數 不足   NUM   戶   活動 取消 辦理   
90,休閒,新北市 行動 式 老人 文康 休閒 巡迴 服務車 出發   公告 日期     NUM       NUM       NUM     公告 事項   新北 市政府 社會局 委託 社團 法人 新北市 志願 服務 協會 辦理   行動 式 老人 文康 休閒 巡迴 服務車     NUM   年   NUM   月   NUM       NUM       NUM       NUM       NUM   日   週四   下午   NUM       NUM       NUM       NUM   本區 福德宮   新店 區 玫瑰 路   NUM   號   提供 服務   現場 免費 卡拉   ENG   歡唱   血壓 測量   社會福利 宣導   有獎 徵答   飲料 茶點 招待     ENG       ENG       歡迎 民眾 踴躍 參加   詳情 請洽 新北市 志願 服務 協會 社工 員   電話     NUM       NUM     活動 當天 遇雨 取消   NUM   次   現場 提供 免費 飲料   請 自備 環保 杯   
91,公告,  NUM   年 全國 身心 障礙 國民 運動會 代表 選手 選拔 要點 新北 市政府 體育 處 辦理   NUM   年 全國 身心 障礙 國民 運動會 代表隊 選手 選拔 案   選拔 要點 可於   網址     ENG       ENG       ENG       ENG       ENG       ENG       ENG     活動 訊息   處 下載   若有 相關 問題   請洽 詢新北 市政府 體育 處林慶豪 先生   電話     NUM       NUM   分機   NUM     
92,公告,    NUM   強薪 達陣   大型 徵才 活動 公告 日期     NUM       NUM       NUM     公告 事項   臺北市 服處   NUM       NUM         NUM   時   NUM   分   NUM   時假圓 山花 博爭艷館 舉辦     NUM   強薪 達陣   大型 徵才 活動     NUM   家 廠商     NUM       NUM   工作 機會   最高 薪資   NUM   萬元   詳情請   ENG       ENG       ENG       ENG     電洽   NUM       NUM       NUM   轉   NUM     
93,文藝,  霓耀 左岸   月光 野餐 音樂會   說明     提升 民眾 藝文 活動 參與 興趣   宣傳 光雕 左岸 光影 之美   期望 透過 音樂會 表演 草地 野餐 方式   推廣 八里 之美   提升 民眾 文藝 文 活動 發展     活動 舉辦 資訊     活動 日期     NUM   年   NUM   月   NUM   日   星期六   晚上   NUM   時   NUM   分     活動 地點   八里 左岸 婚紗 廣場   觀海 大道   
94,公告,新北市 板橋 區 調解 會三連霸   板橋 訊   板橋 區公所 調解 委員會 連續 三年 榮獲   NUM   年度 新北市 調解 業務 行政 團體 績優 第一名   本區 李偉作 委員   NUM   位 調解 績效 優異 委員   獲得 獨任 調解 市長 獎   於今     NUM       NUM     下午   NUM       NUM   市府   NUM   樓 彭園 會館 接受 市長 表揚   板橋 區林敬 榜 區長 表示     NUM   年   NUM   月 正式 每週   晚上 推動 夜間 調解 措施 後 相當 成效   增加 民眾 調解 便利性   大幅 提升 案件 成功 機率   本區 調解 業務 吳濟勇 主席 帶領 之下   積極 推動 調解 業務   去年 調解 案件 達   NUM   件 情況 下   調解 成立 件數 高達   NUM   件   創造 高達   NUM     達成 率   再次 榮獲 新北市   調解 績優   殊榮   此次 獲得 市長 獎的   NUM   位 調解 委員 分別   李雪梅   林陳麗香   江美珠   李偉作   林許 素英   林辰雄   張家 瑋   趙 燕昭   莊文堅   江銘洛     板橋 區 調解 委員會 共有   NUM   人 獲頒 服務 年資   NUM   年 以上 獎項   計有 林陳麗香   江美珠   張家 瑋   林許 素英   戴武雄   林 秀美   林士森   張培芬   蔡居福   許永勝   林 樹枝   蘇國欽   NUM   人 獲此 殊榮   新北市 板橋 區公所   資料 提供   民政 課陶瑞 驎   電話     NUM       NUM   分機   NUM   
95,休閒,  NUM   新北市 永和 仲夏夜 之夢 永和   一個 人文薈萃   充滿 藝文 氣息   仲夏 清 涼如水 夜晚   帶給 繽紛 情境     NUM   新北市 永和 仲夏夜 之夢   系列 音樂 活動   期待 之下 應運而生   透過 專業 主題 音樂節目 策劃   形塑 區域性 音樂 特色   藉由 各項 主題 音樂 活動 演出   培養 社會 大眾 欣賞   參加 藝文 活動 興趣 習慣   邀請 市民 朋友 悠閒 暑期 仲夏 之夜   共同 體驗 永和 獨特 文化 美麗 熱情   這是 何等 閒適     NUM   新北市 永和 仲夏夜 之夢   活動   希望 透過   繽紛 夏夜   藝起 唱   藝 起跳   核心 概念 呈現 整體 活動 規劃   仲夏 時節 能夠 帶給 愉悅 夏日 饗宴   藝文 氣息 薰陶 之下   白天 暢遊 永和   夜晚 感受 音樂 律動   一位 參與 民眾   不論是 永和 居民 來訪 賓客 能夠 愛上 永和   度過 一個 美好 仲夏 假期   仲夏夜 之夢   NUM   週年 回顧展   時間     NUM   月   NUM   日至   NUM   月   NUM   日   每日   NUM       NUM       NUM       NUM     含 假日   地點   新北市 國父 紀念館   簡介   走過   NUM   年頭 仲夏夜 之夢   使用 靜態 動態 展演 方式 呈現 過往 永和 藝文 活動 精采 畫面   使 觀眾 回 想起 曾經 參與 永和 仲夏夜 之夢 活動 精采 片段   營造 夏日   歡樂 氛圍   邀請 藝文 團隊 參與 本次 回顧展   呈現出 文化 團隊 深耕   突顯 永和 藝文 特色   星 光耀 永和   流行 樂曲 演唱會   時間     NUM   月   NUM   日     NUM       NUM       NUM       NUM     地點   新北市 永和 區 仁愛 公園   簡介   做   NUM   新北市 永和 仲夏夜 之夢 首場 晚會   特別 規劃 重量級 卡司 歌手   請   ENG   樂團 拉丁 音樂 豐富多彩 音樂 旋律 節奏   呈現 道 具 特色 拉丁 歌唱 表演 風格   流行音樂 主題   邀請 歌手 張芮菲   亦 帆   梁一貞   卓文 宣及 黃 小琥       NUM   新北市 永和 仲夏夜 之夢   首場 即成 引人注目 話題 焦點   藝享 仲夏夜   優質 團隊 演出   時間     NUM   月   NUM   日     NUM       NUM       NUM       NUM     地點   新北市 國父 紀念館   簡介   邀請 永和 優質 藝文 團隊 小 巨人 絲竹 樂團 魔術 王國 文創 劇團   藉由 絲竹 樂及 魔術 風格 表演   展現出 永和 熱情 活力 人文 氣息   繽紛 奇幻 夜   兒童 藝文 之夜   時間     NUM   月   NUM   日     NUM       NUM       NUM       NUM     地點   新北市 永和 區 仁愛 公園   簡介   開場 活動 團隊 怡鈴 兒童 舞蹈團 揭開序幕   晚會 活動 邀請 東森   ENG   家族 藝人   ENG     櫻桃 姐姐   小丑 默 劇團 台灣管 樂團 合作 演出   藉 純真 童趣 演出   伴隨 悠揚 音樂 旋律   帶領 孩子 一起 進入 這座 看不見 遊樂園   民歌 醉 經典   校園 民歌 演唱會   時間     NUM   月   NUM   日     NUM       NUM       NUM       NUM     地點   新北市 永和 區 仁愛 公園   簡介       NUM   新北市 永和 仲夏夜 之夢   壓軸 活動   邀請 秀朗 愛樂 合唱團 開場 演出   後 民歌手 現場 演唱 經典 雋永 校園 民歌   現場 民眾 一起 藉由 歌聲 進入 時光隧道   重溫 往日 美好   歌手 邀請 小 百合 周月 綺   王瑞瑜   伍浩哲   王海玲 許景淳 一起 分享 民歌 純真 美   
96,公告,九族 文化村   NUM   月   NUM   日 特別 回饋 開放 原住民 同胞 半價 入園 參觀     活動 日期     NUM   年   NUM   月   NUM   日二   招待 對象   全國 原住民 同胞 含出 地及 平地 原住民 族群   當日 入園者 需持 戶口名簿 證明 原住民 籍始 購買 半票 入園   便於 原住民 身分 認證 作業 進行   所有 欲 購買 半價 優惠 票價 原住民 同胞   限由 九族 文化村 大門 進入   謝謝 配合   
97,影劇、展覽,新店 區   國 高中 社區 全方位 反毒   ENG   教程     NUM     ENG   電影 體驗 公告 日期     NUM       NUM       NUM     公告 事項 
98,教育,伊甸 基金會   NUM   月 開辦   NUM   年度   羅 賴把 活力 工程   培訓 課程 主辦單位   財團法人 伊甸 社會福利 基金會   公告 事項 
99,公告,高雄 世茂 林區 多納 段   NUM   地號   NUM   筆 原住民 保留地 設定 他項 權利 公告   NUM   份   附件   請多加 參閱 主辦單位   高雄市 茂林 區公所   依據 高市 茂區 經字   NUM   號 公告 事項     依據 行政 程序法   NUM   條暨 原住民 保留地 開發 管理 辦法   NUM     NUM   條規 辦理     檢附 旨 揭 資料   NUM   份供 參   
100,文藝,霓耀 左岸   月光 野餐 音樂會 時間     NUM   年   NUM   月   NUM   日   星期六   晚上   NUM   時   NUM   分 地點   八里 左岸 婚紗 廣場   觀海 大道   發佈 課室   人文 課 
101,公告,  NUM   年   NUM   月   NUM   日 辦理     NUM   強薪 達陣   大型 徵才 活動 臺北市 服處   NUM       NUM         NUM   時   NUM   分   NUM   時假圓 山花 博爭艷館 舉辦     NUM   強薪 達陣   大型 徵才 活動     NUM   家 廠商     NUM       NUM   工作 機會   最高 薪資   NUM   萬元   詳情請   ENG       ENG       ENG       ENG     電洽   NUM       NUM       NUM   轉   NUM     發佈 課室   秘 書室 
102,公告,公務 機密 短語 宣導 輕視 公務 機密   只會損 公害 已   忽略 機關 維護   易招 滲透 破壞   國家 安全 全民   防範 保 太平   法務部 調查局 新北市 調查 處   關心   發佈 課室   政風 室 
103,教育,青少年 微 電影   ENG   互動 體驗 營 公告 日期     NUM       NUM       NUM     公告 事項     活動 將於   NUM   年   NUM   月   NUM   日     NUM   月   NUM   日 下午   NUM     NUM   時 新北市 青少年 圖書館   新北市 新店 區 安康路   NUM   段   NUM   號     NUM   樓 會議室 舉辦   即日起 歡迎   NUM     NUM   歲 青少年 免費 報名   每堂 課程 上限   NUM   人     活動   NUM   堂 課程 分開 報名   線上 報名 網址 分別     ENG       ENG       ENG       ENG     NUM     ENG       ENG       ENG       ENG       ENG     相關 活動 資訊 請 電洽   本館   NUM   樓 服務檯     NUM       NUM   分機   NUM     
104,文藝,  NUM   新北   ENG   街頭 街舞 狂潮 席捲 板橋     ENG   街頭   ENG   膽跳   新北市 訊   街舞 界 最 期待 年度 盛事     NUM   新北   ENG   街頭   街舞 大賽   強勢 登場   今年 競賽 組別 基礎 講求 團隊 默契 排舞組   技巧性 高 自由 風格 組及 霹靂舞 組   總額   NUM   萬元 獎金   號召 敢動   愛秀 街舞 高手 一起 尬 舞技   拚 創意   新北市 副 市長 侯友宜 今日 特別 出席 記者會 活動   表示   新北 市政府 一直 關心 青少年 族群 發展   藉由   新北   ENG   街頭   活動 舉辦   提供 年輕人 一個 展現 創意 活力 舞臺     主辦單位 鑒 往年 看到 小小 舞王   舞后 秀出 精彩 舞藝   今年 特別 決賽 增開 兒童 限定 街舞 表演賽   自幼 習   舞   小朋友 登台 展現 實力   也將 決賽 當天 增開 霹靂舞 自由 競技   提供 街舞 好手 一同 拚場 練 舞功 機會     NUM   新北   ENG   街頭   賽事 活動 外   暑假 以免費 街舞 推廣 課程 打頭陣   吸引   NUM   歲   NUM   歲 男女老幼 報名 體驗 街舞 律動 樂趣   還與 板橋 收容 多重 障礙 生   愛立 發展 中心   合作   學員 設計 基礎 律動 課程   達到 街舞 推廣 社區 關懷 目的   街舞 大賽 即日起 報名   詳細 活動 資訊 歡迎 板橋 區公所 官網   ENG       ENG       ENG       ENG       ENG       ENG     活動 官方網站 臉書 粉絲 專頁     NUM   新北   ENG   街頭   查詢   新北市 板橋 區公所   資料 提供   人文 課   高嘉文   電話     NUM       NUM   分機   NUM   
105,公告,向阿公 阿嬤送 關懷   板橋 替代 役 服務 觸角 延伸   新北市 訊   板橋 區公所 替代 役 役男 服務 觸角 延伸   預計   NUM   月   NUM   日起   NUM   星期三     NUM   年   NUM   月   NUM   日     NUM   日及   NUM   月   NUM   日     NUM   日   利用 勤務 之餘到 板橋 區轄內 年邁 行動不便 長輩 家裡   協助 打掃 住家 環境   阿公 阿嬤有 煥然一新 居家 環境   板橋 區公所 表示   培養 替代 役 役男 孝親 尊長   敬老尊賢 家庭 倫理道德 觀念   特別 響應 內政部 役 政署   NUM   年   替代 役 役男 關懷 阿公 阿嬤及 協助 居家 環境 清潔 實施 計畫   運用 現有 替代 役 人力資源   協助 個案 整理 居家 環境   並由 社福志工 媽媽 陪同 關懷 生活 起居   給予 長者 溫馨 感受   新北市 板橋 區公所   資料 提供   役 政災 防課   林秀意   電話     NUM       NUM   分機   NUM   
106,休閒,  NUM   年 坪林 淡蘭 古道   NUM   公里 茶商 之路 新北市 觀光 旅遊局 保存 探索 淡蘭 古道 北勢溪 流域 沿線 茶商 路 古徑 段   串聯 地方 成為 資源共享 平臺   探索 式 教育 場域   並可 持續 推展 坪林 低碳 健行 旅遊   延伸 周邊 景點 連接 推廣 特色 慢遊   達 提升 地方 文化 觀光 發展 動能   期以 文獻 蒐集   耆老 專家 訪談 實地考察   文字 圖說 形式 描繪 本區 淡蘭 步道 系統 網絡   整理 相關 人文 產業 發展   自然資源 登山 活動 資料   充實 坪林 區域 旅遊 內涵   計劃 裡並 規劃 場次 活動   開放 部份 民眾 一同 參與   感受 早期 成為 坪 林區 茶 經濟命脈 茶香 古道   淡蘭 古道 魅力 所在   第一場     NUM       NUM         NUM       NUM       NUM       NUM     地點   坪 林區 公區   老街   第二場     NUM       NUM         NUM       NUM       NUM       NUM     地點   前 一個 小時 坪林 區公所   闊賴國 小   古道   NUM   分鐘   回 坪林 解散   第三場     NUM       NUM         NUM       NUM       NUM       NUM     地點   走訪   NUM   公里 茶商 路 北勢溪 古道   闊瀨 古道   第四場     NUM       NUM         NUM       NUM       NUM       NUM     地點   坪林 茶業 博物館   茶 憩樓   第五場     NUM       NUM         NUM       NUM       NUM       NUM     地點   坪林 旅遊 服務中心   詳細 活動 請 上官 網 查詢     ENG       ENG       ENG       ENG       ENG       ENG       NUM       NUM   第一場次 活動 報名     ENG       ENG       ENG       NUM     ENG   
107,文藝,八里 區公所 辦理   霓耀 左岸   月光 野餐 音樂會   提升 民眾 藝文 活動 參與 興趣   宣傳 光雕 左岸 光影 之美   期望 透過 音樂會 表演 草地 野餐 方式   推廣 八里 之美   提升 民眾 文藝 氣息   促進 本區 藝文 活動 發展   主辦單位   新北市 八里 區公所     新 北八社 字   NUM   號 公告 事項     提升 民眾 藝文 活動 參與 興趣   宣傳 光雕 左岸 光影 之美   期望 透過 音樂會 表演 草地 野餐 方式   推廣 八里 之美   提升 民眾 文藝 氣息   促進 本區 藝文 活動 發展     本次 活動 舉辦 資訊     活動 日期     NUM   年   NUM   月   NUM   日   星期六   晚上   NUM   時   NUM   分     活動 地點   八里 左岸 婚紗 廣場   觀海 大道   下載 檔案   宣傳單 
108,休閒,  NUM   古坑 鄉 農村 輕 旅行 暨 竹筍 行銷 活動   活動 定於   NUM   年   NUM   月   NUM   日   星期日   早上   NUM   點至 下午   NUM   點   假 本鄉 大埔 社區   朝陽 村   舉辦     活動 內容豐富   套裝 行程 包括 私房 醬筍 體驗 製作   竹 藝品 編 製   手工 窯 烤 披薩 體驗   手工 餅乾   ENG     生態 導覽 竹筍 風味 餐等     NUM   元 即可 享受 市價 高達   NUM       NUM   元 商品 組合   發佈 課室   經建課 
109,公告,    NUM   年度 住宅 補貼   受理 申請 期間   NUM   年   NUM   月   NUM   日起   NUM   月   NUM   日止   依據 內政部 營建 署   下稱 營建 署     NUM   年   NUM   月   NUM   日營署 宅 字   NUM   號函 辦理       NUM   年度 住宅 補貼 內容摘要     補貼 項目   租金 補貼   自購 住宅 貸款 利息 補貼   修繕 住宅 貸款 利息 補貼     計畫 戶數   租金 補貼   NUM   萬   NUM       NUM   戶   自購 住宅 貸款 利息 補貼   NUM       NUM   戶   修繕 住宅 貸款 利息 補貼   NUM       NUM   戶     補貼 採 評點 制   申請人 具有 原住民 身分   評點 時 權重 加   NUM   分   優先 獲得 補貼   申請 自購 修繕 住宅 貸款 利息 補貼   經審查 符合規定 適用   NUM   類 優惠 利率   目前   NUM       NUM       住宅 補貼 申請書   NUM   年   NUM   月   NUM   日起 可於 營建 署 網站     ENG       ENG       ENG       ENG     下載   點選   快捷 服務   項下   住宅 補貼 專區   無法 上網 自行 列印   可向 本府 城鄉 發展局 住宅 發展 科   電話     NUM       NUM   轉   NUM       NUM     NUM       NUM     免費 索取   
110,公告,三重 稽徵 舉辦   NUM   年度   奇幻 稅月   探索 樂園   統一發票 推行 租稅 宣導 活動 主辦單位   財政部 北區 國稅局 三重 稽徵   公告 事項   三重 稽徵   NUM   年   NUM   月   NUM   日   星期日   下午   NUM   時至   NUM   時假 三重 區 綜合 體育館 集會 堂 舉辦   奇幻 稅月 探索 樂園   統一發票 推行 租稅 宣導 活動   凡 捐出   NUM   張 統一發票     NUM   張無 實體 電子 發票   即可 兌換 一張 氣墊 樂園 入場券   ENG   體驗 券   當天 捐 發票 換好禮   申辦 手機 條碼 換好禮 許多 豐富 活動   詳情 請洽   NUM       NUM   分機   NUM   王小姐   詳細 資訊 請 網頁     ENG       ENG       ENG       ENG       ENG       ENG       ENG       ENG     NUM     ENG       ENG       ENG       NUM     ENG     NUM     ENG     NUM     ENG   
111,文藝,南投縣 仁愛 鄉     NUM   親愛 提琴 故事 節   活動 主辦單位   南投縣 仁愛 鄉   公告 事項 
112,影劇、展覽,大同鄉 微 電影     ENG   約定   活動 主辦單位   宜蘭縣 大同 鄉公所   公告 事項   相關 活動 訊息 請於 大同 鄉公所 網站   ENG       ENG       ENG       ENG       ENG       ENG       ENG       ENG   臉書 專頁   ENG       ENG       ENG       ENG       ENG     查詢 
113,文藝,花蓮縣 玉里鎮   原舞 震璞石   傳唱 縱谷 情   活動 主辦單位   花蓮縣 玉里鎮   公告 事項   相關 活動 詳情請 花蓮縣 玉 里 鎮公所 網站   ENG       ENG       ENG       ENG       ENG       ENG     ENG       ENG       ENG       ENG       ENG       NUM       ENG       ENG     ENG       NUM   查詢 
114,影劇、展覽,宜蘭縣 大同 微 電影     ENG   約定   主辦單位   宜蘭縣 大同鄉 公告 日期     NUM       NUM       NUM     公告 事項   相關 活動 訊息 請於 公所 網站   ENG       ENG       ENG       ENG       ENG       ENG       ENG       ENG   臉書 專頁   ENG       ENG       ENG       ENG       ENG     查詢 
115,休閒,原舞 震璞石   傳唱 縱谷 情 相關 活動 詳情請 花蓮縣 玉 里 鎮公所 網站   ENG       ENG       ENG       ENG       ENG       ENG     ENG       ENG       ENG       ENG       ENG       NUM       ENG       ENG     ENG       NUM   查詢   發佈 課室   秘 書室 
116,休閒,  NUM   花蓮縣 原住 民族 聯合 豐年祭 宣傳 海報   NUM   花蓮縣 玉 里 鎮公所 聯合 豐年祭 暨 捕魚 祭   原舞 震璞石   傳唱 縱谷   活動 詳情 網址 宣傳 海報 
117,影劇、展覽,藝文 走廊   膠學 相長   忘年 之膠 彩畫 聯展   歡迎 蒞臨 參觀   忘年 之膠 彩畫   成立 已有   NUM   餘年   鶯歌 工商 圖書館 蕭正 主任 創設   成員 目前 蕭 主任 鶯歌 工商 進修部 指導 過膠 彩繪 畫的 歷屆 畢業 校友 組成   會員 年齡 差距   喜愛 繪畫 藝術 探討 興趣 卻是 相同     忘年 之膠 彩畫   成立 宗旨   即為 透過 膠 彩繪 畫的 藝術創作 中   分 年齡   輩分     ENG     亦師亦友 地成 忘年之交 畫友   參展 會員 計 有方 惠芬   王淑卿   江 美惠   邱盧 齕   李美 雲   李彤 薰   張瑜芳   陳 梅香   陳 雪影   黃 美玲   廖 富國   劉 金達   羅 見妹   蘇 金釵   本次 畫 聯展 邀請 楊朝勝   陳 彩雲   陳 芳草 三位 畫家 共襄盛舉   增添 畫展 多元 深度 外   畫會 成員 廣度 對外 相互 觀摩 學習 機會     膠   學相長   即成 聯展 主題   期望 激發 創作 靈感   培養 更深 藝術 美感   本次 展覽 展期   NUM   年   NUM   月   NUM   日起   NUM   年   NUM   月   NUM   日   歡迎 民眾 踴躍 前往 參觀   
